ticker,publish_date,period_end,EPSDiluted,StockholdersEquity,AvgDilutedSharesOutstanding,Revenue,CommonStockDividendsPerShare
META,2022-02-03,2021-12-31,13.77,124879000000,2859000000,117929000000,NA
META,2022-02-03,2021-12-31,3.66,124879000000,2818000000,33671000000,NA
META,2021-10-26,2021-09-30,3.22,133360000000,2859000000,29010000000,NA
META,2021-07-29,2021-06-30,3.61,138227000000,2877000000,29077000000,NA
META,2021-04-29,2021-03-31,3.3,133657000000,2882000000,26171000000,NA
META,2021-01-28,2020-12-31,10.09,128290000000,2888000000,85965000000,NA
META,2021-01-28,2020-12-31,3.87,128290000000,2914000000,28072000000,NA
META,2020-10-30,2020-09-30,2.71,117731000000,2891000000,21470000000,NA
META,2020-07-31,2020-06-30,1.8,110447000000,2879000000,18687000000,NA
META,2020-04-30,2020-03-31,1.71,105304000000,2868000000,17737000000,NA
META,2020-01-30,2019-12-31,6.43,101054000000,2876000000,70697000000,NA
META,2020-01-30,2019-12-31,2.56,101054000000,2886000000,21082000000,NA
META,2019-10-31,2019-09-30,2.12,93999000000,2874000000,17652000000,NA
META,2019-07-25,2019-06-30,0.91,88762000000,2875000000,16886000000,NA
META,2019-04-25,2019-03-31,0.85,86516000000,2869000000,15077000000,NA
META,2019-01-31,2018-12-31,7.57,84127000000,2921000000,55838000000,NA
META,2019-01-31,2018-12-31,2.37,84127000000,2896000000,16914000000,NA
META,2018-10-31,2018-09-30,1.76,80342000000,2913000000,13727000000,NA
META,2018-07-26,2018-06-30,1.74,79382000000,2930000000,13231000000,NA
META,2018-04-26,2018-03-31,1.69,77620000000,2945000000,11966000000,NA
META,2018-02-01,2017-12-31,5.39,74347000000,2956000000,40653000000,NA
META,2018-02-01,2017-12-31,1.44,74347000000,2973000000,12972000000,NA
META,2017-11-02,2017-09-30,1.59,71208000000,2956000000,10328000000,NA
META,2017-07-27,2017-06-30,1.32,66481000000,2951000000,9321000000,NA
META,2017-05-04,2017-03-31,1.04,62188000000,2944000000,8032000000,NA
META,2017-02-03,2016-12-31,3.49,59194000000,2925000000,27638000000,NA
META,2017-02-03,2016-12-31,1.21,59194000000,2943000000,8809000000,NA
MSFT,2025-07-30,2025-06-30,3.65,343479000000,7461000000,76441000000,0.83
MSFT,2025-04-30,2025-03-31,3.46,321891000000,7461000000,70066000000,0.83
MSFT,2025-07-30,2025-06-30,13.64,343479000000,7465000000,281724000000,3.32
MSFT,2025-01-29,2024-12-31,3.23,302695000000,7468000000,69632000000,0.83
MSFT,2024-10-30,2024-09-30,3.3,287723000000,7470000000,65585000000,0.83
MSFT,2024-07-30,2024-06-30,2.95,268477000000,7474000000,64727000000,0.75
MSFT,2024-04-25,2024-03-31,2.94,253152000000,7472000000,61858000000,0.75
MSFT,2024-07-30,2024-06-30,11.8,268477000000,7469000000,245122000000,3
MSFT,2024-01-30,2023-12-31,2.93,238268000000,7468000000,62020000000,0.75
MSFT,2023-10-24,2023-09-30,2.99,220714000000,7462000000,56517000000,0.75
MSFT,2023-07-27,2023-06-30,2.69,206223000000,7466000000,56189000000,0.68
MSFT,2023-04-25,2023-03-31,2.45,194683000000,7464000000,52857000000,0.68
MSFT,2023-07-27,2023-06-30,9.68,206223000000,7472000000,211915000000,2.72
MSFT,2023-01-24,2022-12-31,2.2,183136000000,7473000000,52747000000,0.68
MSFT,2022-10-25,2022-09-30,2.35,173566000000,7485000000,50122000000,0.68
MSFT,2022-07-28,2022-06-30,2.24,166542000000,7504000000,51865000000,0.62
MSFT,2022-04-26,2022-03-31,2.22,162924000000,7534000000,49360000000,0.62
MSFT,2022-07-28,2022-06-30,9.65,166542000000,7540000000,198270000000,2.48
MSFT,2022-01-25,2021-12-31,2.48,160010000000,7555000000,51728000000,0.62
MSFT,2021-10-26,2021-09-30,2.71,151978000000,7567000000,45317000000,0.62
MSFT,2021-07-29,2021-06-30,2.17,141988000000,7582000000,46152000000,0.56
MSFT,2021-04-27,2021-03-31,2.03,134505000000,7597000000,41706000000,0.56
MSFT,2021-07-29,2021-06-30,8.05,141988000000,7608000000,168088000000,2.24
MSFT,2021-01-26,2020-12-31,2.03,130236000000,7616000000,43076000000,0.56
MSFT,2020-10-27,2020-09-30,1.82,123392000000,7637000000,37154000000,0.56
MSFT,2020-07-31,2020-06-30,1.46,118304000000,7656000000,38033000000,0.51
MSFT,2020-04-29,2020-03-31,1.4,114501000000,7675000000,35021000000,0.51
MSFT,2020-07-31,2020-06-30,5.76,118304000000,7683000000,143015000000,2.04
